"Börsdata ID","Bolagsnamn","Kursutveck. - Utveck.  1d","Kursutveck. - Rapportdagen","Kursutveck. - Efter rapport","Sen. Rapport - Antal Dagar","Info - Sen. Rapport","Info - Rapport","Vinsttillväxt - Y-Y Tillväxt","Vinsttillväxt - År. tillv. 1år","Omsätt. tillv. - Y-Y Tillväxt","Omsätt. tillv. - År. tillv. 1år","Vinstmarg - Senaste","P/E - Senaste","P/S - Senaste","Info - Tid","Info - Aktiekurs","Info - Bransch"
"387","Cell Impact","0,3%","-25,1%","-68,6%","58","2026-05-13","Q1-2026","83,8%","81,3%","12,3%","-82,6%","-2219,1%","-0,3","5,9","18:00:00","2026-07-09","Industrimaskiner"
"498","EcoRub","1,7%","-2,6%","-20,8%","58","2026-05-13","Q1-2026","-1,8%","3,7%","-26,6%","-11,0%","-104,4%","-2,6","2,7","18:00:00","2026-07-09","Energi & Återvinning"
"907","Vimab Group","2,3%","3,4%","-6,2%","58","2026-05-13","Q1-2026","64,4%","48,2%","22,3%","4,5%","-28,4%","-1,4","0,4","18:00:00","2026-07-09","Affärskonsulter"
"1011","Garo","-2,1%","-2,2%","-16,4%","58","2026-05-13","Q1-2026","-3500,0%","33,0%","-7,0%","-8,8%","-3,4%","-16,5","0,6","18:00:00","2026-07-09","Elektroniska komponenter"
"1546","Ferronordic","-1,0%","13,6%","49,6%","58","2026-05-13","Q1-2026","121,3%","94,5%","-6,5%","-5,6%","-0,4%","-51,8","0,2","18:00:00","2026-07-09","Industrikomponenter"
"1973","ES Group","0,3%","-7,4%","-4,3%","58","2026-05-13","Q1-2026","-12,3%","-2,0%","-8,3%","-4,8%","-12,9%","-5,3","0,7","18:00:00","2026-07-09","Energi & Återvinning"
"2007","Klimator","-1,5%","-4,1%","4,9%","58","2026-05-13","Q1-2026","-198,1%","92,2%","-1,7%","37,8%","-0,8%","-488,6","3,7","18:00:00","2026-07-09","Mätning & Analys"
"1896","QleanAir","3,5%","-18,0%","-27,6%","59","2026-05-12","Q1-2026","38,7%","532,7%","-2,3%","1,1%","6,4%","10,5","0,7","18:00:00","2026-07-09","Energi & Återvinning"
"2586","Terranor Group","0,6%","0,0%","50,2%","59","2026-05-12","Q1-2026","2982,9%","-125,6%","22,9%","19,3%","-0,4%","-45,5","0,2","18:00:00","2026-07-09","Stödtjänster & Service"
"2608","Arctic Falls","1,4%","-6,1%","-7,1%","59","2026-05-12","Q3-2026","-11,0%",,"-0,1%",,"21,6%","18,6","4,0","18:00:00","2026-07-09","Stödtjänster & Service"
"277","Nordic LEVEL","-0,6%","-1,9%","-36,9%","60","2026-05-11","Q1-2026","-150,8%","32,2%","-30,4%","-8,8%","-3,2%","-6,2","0,2","18:00:00","2026-07-09","Säkerhet"
"1323","AcadeMedia","0,9%","8,9%","12,7%","60","2026-05-11","Q3-2026","23,1%","21,8%","6,6%","5,7%","4,5%","11,8","0,5","18:00:00","2026-07-09","Utbildning"
"66","Duroc","-2,3%","5,0%","6,1%","63","2026-05-08","Q3-2026","-438,2%","-557,2%","-2,8%","-5,7%","-2,1%","-12,4","0,3","18:00:00","2026-07-09","Industrikomponenter"
"465","Envirologic","1,6%","-4,5%","-2,0%","63","2026-05-08","Q1-2026","-58,1%","-14,4%","-12,9%","0,2%","14,8%","20,2","3,0","18:00:00","2026-07-09","Industrimaskiner"
"511","Gullberg & Jansson","-0,8%","-6,5%","-8,7%","63","2026-05-08","Q1-2026","-32,6%","6,0%","-22,8%","8,8%","-3,7%","-11,5","0,4","18:00:00","2026-07-09","Installation & VVS"
"1832","Tribox Group","-2,2%","13,4%","11,8%","63","2026-05-08","Q1-2026","233,3%","106,9%","37,4%","4,8%","0,6%","82,2","0,5","18:00:00","2026-07-09","Energi & Återvinning"
"2006","BoMill","-0,2%","-2,0%","-8,7%","63","2026-05-08","Q1-2026","-22,7%","27,3%",,"2,4%","-101,3%","-4,0","4,0","18:00:00","2026-07-09","Mätning & Analys"
"2195","MoveByBike","-4,5%","-17,2%","-63,6%","63","2026-05-08","Q1-2026","80,4%","99,6%","37,5%","66,8%","-2,9%","-23,1","0,7","18:00:00","2026-07-09","Tåg- & Lastbilstransport"
"2525","Karnell Group","-1,3%","13,6%","8,7%","63","2026-05-08","Q1-2026","35,1%","56,1%","27,3%","21,0%","8,3%","27,2","2,3","18:00:00","2026-07-09","Industrikomponenter"
"459","Greater Than","2,0%","-5,5%","-24,2%","64","2026-05-07","Q1-2026","46,5%","-119,4%","-9,9%","-81,9%","-895,8%","-3,1","27,9","18:00:00","2026-07-09","Mätning & Analys"
