"Börsdata ID","Bolagsnamn","Info - Ticker","Info - Yahoo","Info - Sektor","Info - Bransch","Info - Lista","Info - Land","Info - Not.datum","Info - Kursvaluta","Info - Rapportvaluta"
"303","Hultström","HULT B","HULT-B.ST","Industri","Affärskonsulter","First North","Sverige","2000-07-06","SEK","SEK"
"304","Impact Coatings","IMPC","IMPC.ST","Industri","Industrimaskiner","First North","Sverige","2004-12-15","SEK","SEK"
"1691","Infrea","INFREA","INFREA.ST","Industri","Byggnation & Infrastruktur","Small Cap","Sverige","2018-04-20","SEK","SEK"
"784","Insplorion","INSP","INSP.ST","Industri","Mätning & Analys","First North","Sverige","2015-06-25","SEK","SEK"
"1437","Instalco","INSTAL","INSTAL.ST","Industri","Installation & VVS","Mid Cap","Sverige","2017-05-11","SEK","SEK"
"424","Inwido","INWI","INWI.ST","Industri","Byggmaterial","Mid Cap","Sverige","2014-09-26","SEK","SEK"
"114","ITAB Group","ITAB","ITAB.ST","Industri","Bygginredning","Mid Cap","Sverige","2004-04-03","SEK","SEK"
"289","Kakel Max","KAKEL","KAKEL.ST","Industri","Byggmaterial","First North","Sverige","2000-06-07","SEK","SEK"
"2525","Karnell Group","KARNEL B","KARNEL-B.ST","Industri","Industrikomponenter","Mid Cap","Sverige","2024-03-22","SEK","SEK"
"1796","Karnov","KAR","KAR.ST","Industri","Affärskonsulter","Mid Cap","Sverige","2019-04-11","SEK","SEK"
"2559","KB Components","KBC","KBC.ST","Industri","Industrikomponenter","First North","Sverige","2024-12-11","SEK","SEK"
"2007","Klimator","KLIMAT","KLIMAT.ST","Industri","Mätning & Analys","First North","Sverige","2020-10-23","SEK","SEK"
"125","Lammhults Design","LAMM B","LAMM-B.ST","Industri","Bygginredning","Small Cap","Sverige","1989-06-09","SEK","SEK"
"1079","Lightning Group","LIGR","LIGR.ST","Industri","Elektroniska komponenter","Spotlight","Sverige","2016-05-03","SEK","SEK"
"134","Malmbergs Elektriska","MEAB B","MEAB-B.ST","Industri","Elektroniska komponenter","Small Cap","Sverige","1999-03-12","SEK","SEK"
"1445","Mantex","MANTEX","MANTEX.ST","Industri","Mätning & Analys","First North","Sverige","2017-05-05","SEK","SEK"
"2383","Momentum Group","MMGR B","MMGR-B.ST","Industri","Industrikomponenter","Mid Cap","Sverige","2022-03-31","SEK","SEK"
"2195","MoveByBike","MBBAB","MBBAB.ST","Industri","Tåg- & Lastbilstransport","Spotlight","Sverige","2021-06-16","SEK","SEK"
"2325","Nattaro Labs","NATTA","NATTA.ST","Industri","Stödtjänster & Service","Spotlight","Sverige","2021-12-10","SEK","SEK"
"152","Nederman","NMAN","NMAN.ST","Industri","Installation & VVS","Mid Cap","Sverige","2007-05-16","SEK","SEK"
